City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,Port Shepstone,ZA,61.63,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
530,San Luis,AR,81.9,few clouds,-33.295,-66.3356,Huarpes Hotel
532,Ngunguru,NZ,68.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
533,Vilhena,BR,71.82,light rain,-12.7406,-60.1458,Hotel Mirage
535,Pasaje,EC,76.71,overcast clouds,-3.3333,-79.8167,Finca Huaylala
536,Mudgal,IN,70.68,overcast clouds,16.0167,76.4333,PRINCE TYERS
537,Bambanglipuro,ID,75.13,light rain,-7.95,110.2833,Puri Brata
539,Manakara,MG,71.24,clear sky,-22.1333,48.0167,La Residence Manakara
542,Cuenca,EC,64.53,broken clouds,-2.8833,-78.9833,Hotel Cuenca
545,Marang,MY,76.93,overcast clouds,5.2056,103.2059,DBarakah Homestay
547,Hervey Bay,AU,73.51,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
550,Gizo,SB,81.82,overcast clouds,-8.103,156.8419,Imagination Island
552,Miandrivazo,MG,79.36,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
554,Cachoeira Do Sul,BR,68.0,clear sky,-30.0392,-52.8939,Rede Bonnel Tropical Hotel Confort
555,Jacareacanga,BR,76.23,light rain,-6.2222,-57.7528,Casa do Ian😎
559,Hobyo,SO,78.94,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
563,Ridgecrest,US,72.64,broken clouds,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
564,Camacha,PT,62.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
565,Antofagasta,CL,63.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
566,Broken Hill,AU,62.31,moderate rain,-31.95,141.4333,Royal Exchange Hotel
568,Mbour,SN,79.65,broken clouds,14.422,-16.9638,Tama Lodge
569,Rusape,ZW,64.92,light rain,-18.5278,32.1284,Surrey Lodge
571,Quelimane,MZ,79.52,overcast clouds,-17.8786,36.8883,Hotel Flamingo
573,Chipinge,ZW,63.37,light rain,-20.1883,32.6236,Chipinge Breeze Lodge
576,Houma,US,68.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
581,Kieta,PG,78.85,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
583,Kulhudhuffushi,MV,80.71,broken clouds,6.6221,73.07,Haajy Guest House 1
589,Chandler,US,83.19,overcast clouds,33.3062,-111.8412,"Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort, an IHG Hotel"
592,That Phanom,TH,70.7,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
593,Vila Velha,BR,78.75,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
594,Gushikawa,JP,70.83,clear sky,26.3544,127.8686,Kirari Guest House
597,Lawton,US,63.93,few clouds,34.6087,-98.3903,Holiday Inn Express & Suites Lawton-Fort Sill
598,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
600,Mandera,KE,83.75,few clouds,3.9366,41.867,Mwalimu Guest mandera
602,Nata,PA,80.47,broken clouds,8.3333,-80.5167,Rey David
604,Mudhol,IN,70.93,overcast clouds,16.35,75.2833,Hotel Surabhi
611,Moerai,PF,75.22,broken clouds,-22.4333,-151.3333,Le Manotel
612,Mogadishu,SO,79.68,few clouds,2.0371,45.3438,Hotel Juba
613,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
619,Poum,NC,77.41,clear sky,-20.2333,164.0167,Gîte kajeon
621,Bilaspur,IN,69.1,broken clouds,22.0833,82.15,Hotel East Park
624,Gandu,BR,72.68,broken clouds,-13.7439,-39.4867,Pousada Duarte
