City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Berlevag,NO,70.8578,29.0864,37.35,87,75,13.8,light rain
297,Bonavista,CA,48.6499,-53.1147,52.12,92,100,31.41,light rain
298,Strezhevoy,RU,60.7333,77.5889,-13.02,100,50,5.73,scattered clouds
299,Boulsa,BF,12.6675,-0.5758,82.09,16,5,9.28,clear sky
300,Santiago,CL,-33.4569,-70.6483,81.86,33,0,10.36,clear sky
301,Moses Lake,US,47.1301,-119.2781,40.87,68,60,5.1,broken clouds
302,Nome,US,64.5011,-165.4064,5.07,56,1,0.0,clear sky
303,Kenai,US,60.5544,-151.2583,-2.11,84,1,4.61,clear sky
304,Itupiranga,BR,-5.1347,-49.3267,84.52,75,83,1.52,light rain
305,Werda,BW,-25.2667,23.2833,70.77,14,0,9.44,clear sky
306,Apac,UG,1.9756,32.5386,65.32,92,75,2.21,light rain
307,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,71,40,8.01,scattered clouds
308,Saint-Pierre,RE,-21.3393,55.4781,74.84,60,0,6.91,clear sky
309,Wasilla,US,61.5814,-149.4394,6.01,84,1,0.0,clear sky
310,Kawalu,ID,-7.3817,108.2082,71.22,94,100,1.9,overcast clouds
311,Nenjiang,CN,49.1833,125.2167,12.06,90,100,2.77,overcast clouds
312,Komatipoort,ZA,-25.4332,31.9548,67.05,76,100,5.86,overcast clouds
313,Boulder City,US,35.9786,-114.8325,68.72,18,1,3.44,clear sky
314,Atambua,ID,-9.1061,124.8925,75.88,85,90,2.77,overcast clouds
315,Severnyy,RU,50.677,36.5532,33.84,100,90,8.95,mist
316,Karratha,AU,-20.7377,116.8463,80.17,50,45,3.33,light rain
317,Kuah,MY,6.3265,99.8432,77.02,82,100,3.36,overcast clouds
318,Adrar,MR,20.5022,-10.0711,76.3,25,74,9.46,broken clouds
319,Kushiro,JP,42.975,144.3747,38.03,69,3,11.54,clear sky
320,Komsomolskiy,UZ,40.4272,71.7189,29.12,74,0,6.91,mist
321,Esperance,AU,-33.8667,121.9,49.84,60,99,6.64,overcast clouds
322,Bonthe,SL,7.5264,-12.505,80.78,82,45,4.25,scattered clouds
323,Chunan,CN,24.5277,110.548,65.01,94,99,0.94,overcast clouds
324,Port Hardy,CA,50.6996,-127.4199,46.58,71,75,6.91,light intensity shower rain
325,Mount Isa,AU,-20.7333,139.5,82.17,61,0,0.0,clear sky
326,Port Lincoln,AU,-34.7333,135.8667,57.61,69,100,13.35,overcast clouds
327,Sistranda,NO,63.7256,8.834,44.91,66,90,33.93,overcast clouds
328,Alyangula,AU,-13.8483,136.4192,76.87,100,40,3.44,scattered clouds
329,Tucumcari,US,35.1717,-103.725,69.94,14,1,23.02,clear sky
330,Uchiza,PE,-8.4592,-76.4633,75.06,97,100,1.1,overcast clouds
331,Sola,VU,-13.8833,167.55,81.27,78,90,0.0,overcast clouds
332,Kuytun,RU,54.3419,101.5036,12.6,95,100,5.32,light snow
333,Pevek,RU,69.7008,170.3133,-5.13,85,56,5.39,broken clouds
334,Valdivia,CL,-39.8142,-73.2459,75.29,51,0,1.59,clear sky
335,Jasper,US,37.2001,-94.3502,54.27,26,90,5.01,overcast clouds
336,Lasa,IT,46.6166,10.7002,47.28,60,28,4.85,scattered clouds
337,Acajutla,SV,13.5928,-89.8275,85.57,61,100,3.78,overcast clouds
338,Polson,US,47.6936,-114.1632,37.78,60,100,2.86,light rain
339,Montrose,US,38.4166,-108.2673,46.74,27,83,12.75,broken clouds
340,Grand-Santi,GF,4.25,-54.3833,75.18,94,98,3.2,light rain
341,Taltal,CL,-25.4,-70.4833,64.26,65,23,4.47,few clouds
342,Tsuruoka,JP,38.7217,139.8217,46.76,71,46,3.74,scattered clouds
343,Narsaq,GL,60.9167,-46.05,23.22,77,100,10.42,overcast clouds
344,Luderitz,NA,-26.6481,15.1594,60.12,71,9,19.57,clear sky
345,Ca Mau,VN,9.1769,105.15,76.01,91,99,4.09,overcast clouds
